,0,1,2,3,4,5,6,7,8,9,10,11
43,zQA9aMDHa-uIs7QXP6M8Qw,la-chatelaine-columbus,LaChatelaine,https://www.yelp.com/biz/la-chatelaine-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,236,+16144881911,5880.9404197243,40.007320,-83.051660,3.5,"Bakeries, French, Breakfast & Brunch","delivery, pickup"
44,SOHBf47tGiSCfKstSyPNEA,wangs-chinese-kitchen-columbus,Wang'sChineseKitchen,https://www.yelp.com/biz/wangs-chinese-kitchen-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,20,+16148523025,627.0774667224,39.985970,-82.983970,4.0,Chinese,"delivery, pickup"
45,tYtMDwDtxzR17Go-CoZTSw,gyro-city-grill-columbus,GyroCityGrill,https://www.yelp.com/biz/gyro-city-grill-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,88,+16144971600,10984.5208371797,39.884486,-83.000360,4.5,Greek,"delivery, pickup"
46,zMcRqKBnIxlPJN5zg8VkMA,takorea-columbus,TaKorea,https://www.yelp.com/biz/takorea-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,19,+16149665703,867.4033168972,39.990201,-82.986867,4.0,"Mexican, Barbeque, Korean","delivery, pickup"
47,Zaxbh7oDAOIk_rAs0431kw,olentangy-river-greenway-columbus,OlentangyRiverGreenway,https://www.yelp.com/biz/olentangy-river-greenway-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,26,,3208.2675278733,39.999920,-83.020946,4.5,Parks,
48,yjho5qRn56fnsgfph6hxrQ,bento-go-columbus,BentoGo,https://www.yelp.com/biz/bento-go-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,167,+16144570888,11240.6707242900,40.058670,-83.078050,4.0,Asian Fusion,delivery
49,QleS0dnKNlJcSUemolelWQ,flavors-of-india-columbus,FlavorsofIndia,https://www.yelp.com/biz/flavors-of-india-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,105,+16142281955,1706.5973160249,39.971899,-83.004318,3.5,Indian,"delivery, pickup"
50,FamB8c221QImD-fqOOrDhw,barrel-and-taps-columbus,Barrel&Taps,https://www.yelp.com/biz/barrel-and-taps-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,35,+16147451542,4443.8671111281,39.985140,-83.042510,4.0,"Cocktail Bars, Beer Bar, Whiskey Bars",
51,xfqA2NLfGwHeraX92HACrw,one-line-coffee-river-and-rich-columbus-4,OneLineCoffee-River&Rich,https://www.yelp.com/biz/one-line-coffee-river-and-rich-columbus-4?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,37,+16149295877,3532.7874775083,39.955920,-83.012260,4.0,Coffee & Tea,delivery
52,nYrAfEiU9OiNzUJWXQodBA,world-of-beer-columbus-3,WorldofBeer,https://www.yelp.com/biz/world-of-beer-columbus-3?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,199,+16144762962,9665.3250426260,40.049267,-82.917044,3.5,"Pubs, American (Traditional)",delivery
53,eH8CoZ9zE6wQ7Diu-3iZYA,the-pizzuti-collection-columbus,ThePizzutiCollection,https://www.yelp.com/biz/the-pizzuti-collection-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,9,+16142216801,1470.6363584679,39.975113,-83.004335,4.5,"Venues & Event Spaces, Art Museums",
